Strain name,Amikacin,Tobramycin,Gentamicin,Imipenem,Meropenem,Doripenem,Ciprofloxacin,Levofloxacin,Piperacillin/ tazobactam,Ticarcillin/clavulanic acid,Cefotaxime,Ceftriaxone,Ceftazidime,Cefepime,Trimethoprim/ sulfamethoxazole,Ampicillin/ sulbactam,Colistin,Polymyxin B,Tetracycline,Minocycline,Piperacillin
Acinetobacterbaumanniistrainccf5,Resistant,Resistant,Resistant,Resistant,NA,NA,Resistant,Resistant,Strain could not be classified,NA,NA,Resistant,Resistant,Intermediate,NA,Strain could not be classified,NA,NA,Resistant,Susceptible,Resistant
Acinetobacterbaumanniistrainccf50,NA,Resistant,Resistant,Resistant,NA,NA,Resistant,Resistant,Strain could not be classified,NA,NA,Resistant,Resistant,Resistant,NA,Strain could not be classified,NA,NA,NA,NA,NA
Acinetobacterbaumanniistrainccf51,Resistant,Resistant,Resistant,NA,NA,NA,Resistant,NA,Strain could not be classified,NA,NA,Resistant,NA,NA,NA,Strain could not be classified,NA,NA,NA,NA,NA
Acinetobacterbaumanniistrainccf52,NA,Susceptible,Susceptible,Resistant,NA,NA,Resistant,Resistant,Strain could not be classified,NA,NA,Resistant,Resistant,Intermediate,NA,Susceptible,NA,NA,Intermediate,Susceptible,Resistant
Acinetobacterbaumanniistrainccf53,Resistant,Resistant,Resistant,Resistant,NA,NA,Resistant,Resistant,Strain could not be classified,NA,NA,Resistant,Resistant,Resistant,NA,Strain could not be classified,NA,NA,Resistant,Susceptible,Resistant
Acinetobacterbaumanniistrainccf54,NA,Intermediate,Resistant,NA,NA,NA,Resistant,NA,Strain could not be classified,NA,NA,Resistant,Resistant,Resistant,NA,Strain could not be classified,NA,NA,NA,NA,NA
Acinetobacterbaumanniistrainccf55,Resistant,Resistant,Resistant,Resistant,NA,NA,Resistant,Resistant,Strain could not be classified,NA,NA,Resistant,Resistant,Resistant,NA,Strain could not be classified,NA,NA,Resistant,Susceptible,Resistant
Acinetobacterbaumanniistrainccf57,NA,Intermediate,Resistant,NA,NA,NA,Resistant,NA,Strain could not be classified,NA,NA,Resistant,Resistant,Resistant,NA,Strain could not be classified,NA,NA,NA,NA,NA
Acinetobacterbaumanniistrainccf58,Resistant,Resistant,Resistant,Resistant,NA,NA,Resistant,Resistant,Strain could not be classified,NA,NA,Resistant,Resistant,Intermediate,NA,Susceptible,NA,NA,Resistant,Susceptible,Resistant
Acinetobacterbaumanniistrainccf59,Resistant,Resistant,Resistant,Resistant,NA,NA,Resistant,Resistant,Strain could not be classified,NA,NA,Resistant,Resistant,Resistant,NA,Strain could not be classified,NA,NA,Resistant,Susceptible,Resistant
Acinetobacterbaumanniistrainccf6,Resistant,Resistant,Resistant,Resistant,NA,NA,Resistant,Resistant,Strain could not be classified,NA,NA,Resistant,Resistant,Resistant,NA,Strain could not be classified,NA,NA,Resistant,Susceptible,Resistant
Acinetobacterbaumanniistrainccf60,Resistant,Resistant,Resistant,NA,NA,NA,Resistant,NA,Strain could not be classified,NA,NA,Resistant,NA,NA,NA,Strain could not be classified,NA,NA,NA,NA,NA
Acinetobacterbaumanniistrainccf62,Resistant,Resistant,Resistant,Resistant,NA,NA,Resistant,Intermediate,Strain could not be classified,NA,NA,Resistant,Resistant,Resistant,NA,Strain could not be classified,NA,NA,Resistant,Susceptible,Resistant
Acinetobacterbaumanniistrainccf63,Resistant,Resistant,Resistant,Resistant,NA,NA,Resistant,Resistant,Strain could not be classified,NA,NA,Resistant,Resistant,Resistant,NA,Strain could not be classified,NA,NA,Resistant,Susceptible,Resistant
Acinetobacterbaumanniistrainccf64,Susceptible,Resistant,Resistant,Resistant,NA,NA,Resistant,Resistant,Strain could not be classified,NA,NA,Resistant,Resistant,Intermediate,NA,Strain could not be classified,NA,NA,Resistant,Susceptible,Resistant
Acinetobacterbaumanniistrainccf65,Resistant,Resistant,Resistant,Resistant,NA,NA,Resistant,Resistant,Strain could not be classified,NA,NA,Resistant,Resistant,Resistant,NA,Strain could not be classified,NA,NA,Resistant,Susceptible,Resistant
Acinetobacterbaumanniistrainccf66,Resistant,Resistant,Resistant,Resistant,NA,NA,Resistant,Resistant,Strain could not be classified,NA,NA,Resistant,Resistant,Resistant,NA,Strain could not be classified,NA,NA,Resistant,Resistant,Resistant
Acinetobacterbaumanniistrainccf67,Resistant,Resistant,Resistant,Resistant,NA,NA,Resistant,Resistant,Strain could not be classified,NA,NA,Resistant,Resistant,Resistant,NA,Strain could not be classified,NA,NA,Resistant,Resistant,Resistant
Acinetobacterbaumanniistrainccf68,Resistant,Resistant,Resistant,NA,NA,NA,Resistant,NA,Strain could not be classified,NA,NA,Resistant,NA,NA,NA,Strain could not be classified,NA,NA,NA,NA,NA
Acinetobacterbaumanniistrainccf69,Resistant,Resistant,Resistant,Resistant,NA,NA,Resistant,Resistant,Strain could not be classified,NA,NA,Resistant,Resistant,Susceptible,NA,Strain could not be classified,NA,NA,Resistant,Susceptible,Resistant
Acinetobacterbaumanniistrainccf7,Resistant,Resistant,Resistant,Resistant,NA,NA,Resistant,Resistant,Strain could not be classified,NA,NA,Resistant,Resistant,Resistant,NA,Strain could not be classified,NA,NA,Resistant,Susceptible,Resistant
Acinetobacterbaumanniistrainccf70,Resistant,Resistant,Resistant,NA,NA,NA,Resistant,NA,Strain could not be classified,NA,NA,Resistant,NA,Intermediate,NA,Strain could not be classified,NA,NA,NA,NA,NA
Acinetobacterbaumanniistrainccf72,Resistant,Resistant,Resistant,Resistant,NA,NA,Resistant,Resistant,Strain could not be classified,NA,NA,Resistant,Resistant,Resistant,NA,Strain could not be classified,NA,NA,Resistant,Susceptible,Resistant
Acinetobacterbaumanniistrainccf73,Resistant,Resistant,Resistant,Resistant,NA,NA,Resistant,Resistant,Strain could not be classified,NA,NA,Resistant,Resistant,Resistant,NA,Strain could not be classified,NA,NA,Resistant,Susceptible,Resistant
Acinetobacterbaumanniistrainccf74,Susceptible,Susceptible,Resistant,NA,NA,NA,Resistant,NA,Strain could not be classified,NA,NA,Resistant,Resistant,Resistant,NA,Strain could not be classified,NA,NA,NA,NA,NA
Acinetobacterbaumanniistrainccf75,Resistant,Intermediate,Resistant,Resistant,NA,NA,Resistant,NA,Strain could not be classified,NA,NA,Resistant,Resistant,NA,NA,Strain could not be classified,NA,NA,NA,NA,NA
Acinetobacterbaumanniistrainccf8,Resistant,Susceptible,Susceptible,Resistant,NA,NA,Resistant,Intermediate,Strain could not be classified,NA,NA,Susceptible,Susceptible,Intermediate,NA,Strain could not be classified,NA,NA,Susceptible,Susceptible,Resistant
Acinetobacterbaumanniistrainccf9,Resistant,Resistant,Resistant,Resistant,NA,NA,Resistant,Resistant,Strain could not be classified,NA,NA,Resistant,Resistant,Resistant,NA,Susceptible,NA,NA,Resistant,Intermediate,Resistant
Acinetobacterbaumanniistrainccug70743,Resistant,Resistant,Resistant,Resistant,Resistant,NA,Resistant,Resistant,NA,NA,Intermediate,Intermediate,NA,NA,Strain could not be classified,NA,Intermediate,NA,Resistant,NA,NA
Acinetobacterbaumanniistrainmrsn10191,Intermediate,Intermediate,Intermediate,Susceptible,NA,NA,Intermediate,Intermediate,NA,NA,Intermediate,Intermediate,Intermediate,NA,Strain could not be classified,Strain could not be classified,NA,NA,Intermediate,NA,NA
Acinetobacterbaumanniistrainmrsn11224,Resistant,Resistant,Resistant,Resistant,Resistant,NA,Resistant,Resistant,NA,NA,NA,Resistant,Resistant,Resistant,Strain could not be classified,Strain could not be classified,Intermediate,NA,Resistant,NA,NA
Acinetobacterbaumanniistrainmrsn11663,Resistant,Resistant,Resistant,Resistant,Resistant,NA,Resistant,Resistant,NA,NA,NA,Resistant,Resistant,Resistant,Strain could not be classified,Strain could not be classified,Intermediate,NA,Resistant,NA,NA
Acinetobacterbaumanniistrainmrsn11669,Susceptible,Susceptible,Resistant,Susceptible,Susceptible,NA,Resistant,Resistant,NA,NA,NA,Intermediate,Resistant,Resistant,Strain could not be classified,Susceptible,Intermediate,NA,Susceptible,NA,NA
Acinetobacterbaumanniistrainmrsn11680,Intermediate,Intermediate,Intermediate,Intermediate,Resistant,NA,Intermediate,Intermediate,NA,NA,Intermediate,Intermediate,Intermediate,NA,Strain could not be classified,Susceptible,NA,NA,Intermediate,NA,NA
Acinetobacterbaumanniistrainmrsn11683,Susceptible,Susceptible,Intermediate,Susceptible,Susceptible,Susceptible,Susceptible,Susceptible,NA,NA,Intermediate,Intermediate,Intermediate,NA,Strain could not be classified,Strain could not be classified,NA,NA,Susceptible,NA,NA
Acinetobacterbaumanniistrainmrsn11684,Susceptible,Susceptible,Intermediate,Susceptible,Susceptible,Susceptible,Intermediate,Intermediate,NA,NA,Intermediate,Intermediate,Intermediate,NA,Strain could not be classified,Strain could not be classified,NA,NA,Intermediate,NA,NA
Acinetobacterbaumanniistrainmrsn11687,Susceptible,Intermediate,Intermediate,Susceptible,Susceptible,NA,Susceptible,Susceptible,NA,NA,Intermediate,Intermediate,Susceptible,NA,Strain could not be classified,Susceptible,NA,NA,Intermediate,NA,NA
Acinetobacterbaumanniistrainmrsn11690,Susceptible,Susceptible,Intermediate,Susceptible,Susceptible,NA,Intermediate,Intermediate,NA,NA,Intermediate,Intermediate,Intermediate,NA,Strain could not be classified,Strain could not be classified,NA,NA,Intermediate,NA,NA
Acinetobacterbaumanniistrainmrsn11698,Susceptible,Susceptible,Susceptible,Susceptible,Susceptible,Susceptible,Susceptible,Susceptible,NA,NA,Susceptible,Susceptible,Susceptible,NA,Susceptible,Susceptible,NA,NA,Susceptible,NA,NA
Acinetobacterbaumanniistrainmrsn11700,Susceptible,Susceptible,Intermediate,Susceptible,Susceptible,Susceptible,Intermediate,Intermediate,NA,NA,Intermediate,Intermediate,Intermediate,NA,Strain could not be classified,Strain could not be classified,NA,NA,Intermediate,NA,NA
Acinetobacterbaumanniistrainmrsn11703,Resistant,Resistant,Resistant,Susceptible,Intermediate,NA,Resistant,Resistant,NA,NA,NA,Resistant,Resistant,Resistant,Strain could not be classified,Susceptible,Intermediate,NA,Resistant,NA,NA
Acinetobacterbaumanniistrainmrsn11707,Susceptible,Susceptible,Susceptible,Susceptible,Susceptible,Susceptible,Susceptible,Susceptible,NA,NA,Susceptible,Susceptible,Susceptible,NA,Strain could not be classified,Susceptible,NA,NA,Intermediate,NA,NA
Acinetobacterbaumanniistrainmrsn11709,Intermediate,Intermediate,Intermediate,Susceptible,Susceptible,NA,Intermediate,Intermediate,NA,NA,Intermediate,Intermediate,Intermediate,NA,Strain could not be classified,Susceptible,NA,NA,Intermediate,NA,NA
Acinetobacterbaumanniistrainmrsn1171,Susceptible,Intermediate,Resistant,Susceptible,Susceptible,NA,Resistant,Resistant,NA,NA,NA,Resistant,Resistant,Resistant,Strain could not be classified,Strain could not be classified,Intermediate,NA,Resistant,NA,NA
Acinetobacterbaumanniistrainmrsn11712,Intermediate,Intermediate,Intermediate,Susceptible,Susceptible,Susceptible,Intermediate,Intermediate,NA,NA,Intermediate,Intermediate,Intermediate,NA,Susceptible,Susceptible,NA,NA,Susceptible,NA,NA
Acinetobacterbaumanniistrainmrsn11714,Susceptible,Susceptible,Intermediate,Susceptible,Susceptible,Susceptible,Intermediate,Intermediate,NA,NA,Intermediate,Intermediate,Intermediate,NA,Strain could not be classified,Strain could not be classified,NA,NA,Intermediate,NA,NA
Acinetobacterbaumanniistrainmrsn11716,Susceptible,Intermediate,Intermediate,Susceptible,Susceptible,NA,Susceptible,Susceptible,NA,NA,Intermediate,Intermediate,Intermediate,NA,Strain could not be classified,Susceptible,NA,NA,Intermediate,NA,NA
Acinetobacterbaumanniistrainmrsn11720,Susceptible,Susceptible,Intermediate,Susceptible,Susceptible,Susceptible,Intermediate,Intermediate,NA,NA,Intermediate,Intermediate,Intermediate,NA,Strain could not be classified,Strain could not be classified,NA,NA,Intermediate,NA,NA
Acinetobacterbaumanniistrainmrsn11721,Susceptible,Susceptible,Intermediate,Susceptible,Susceptible,Susceptible,Intermediate,Intermediate,NA,NA,Intermediate,Intermediate,Intermediate,NA,Strain could not be classified,Susceptible,NA,NA,Intermediate,NA,NA
Acinetobacterbaumanniistrainmrsn11722,Susceptible,Susceptible,Intermediate,Susceptible,Intermediate,Susceptible,Intermediate,Intermediate,NA,NA,Intermediate,Intermediate,Intermediate,NA,Strain could not be classified,Strain could not be classified,NA,NA,Intermediate,NA,NA
Acinetobacterbaumanniistrainmrsn11725,Susceptible,Susceptible,Intermediate,Susceptible,Susceptible,Susceptible,Intermediate,Intermediate,NA,NA,Intermediate,Intermediate,Intermediate,NA,Strain could not be classified,Strain could not be classified,NA,NA,Intermediate,NA,NA
Acinetobacterbaumanniistrainmrsn11726,Susceptible,Susceptible,Intermediate,Susceptible,Susceptible,Susceptible,Intermediate,Intermediate,NA,NA,Intermediate,Intermediate,Intermediate,NA,Strain could not be classified,Strain could not be classified,NA,NA,Intermediate,NA,NA
Acinetobacterbaumanniistrainmrsn11727,Intermediate,Intermediate,Intermediate,Susceptible,Susceptible,NA,Intermediate,Intermediate,NA,NA,Intermediate,Intermediate,Intermediate,NA,Strain could not be classified,Susceptible,NA,NA,Intermediate,NA,NA
Acinetobacterbaumanniistrainmrsn11732,Intermediate,Intermediate,Intermediate,Susceptible,Susceptible,NA,Intermediate,Intermediate,NA,NA,Intermediate,Intermediate,Intermediate,NA,Strain could not be classified,Susceptible,NA,NA,Intermediate,NA,NA
Acinetobacterbaumanniistrainmrsn11735,Intermediate,Intermediate,Intermediate,Susceptible,NA,NA,Intermediate,Intermediate,NA,NA,Intermediate,Intermediate,Intermediate,NA,Susceptible,Susceptible,NA,NA,Intermediate,NA,NA
Acinetobacterbaumanniistrainmrsn11736,Susceptible,Susceptible,Susceptible,Susceptible,Susceptible,NA,Susceptible,Susceptible,NA,NA,Intermediate,Susceptible,Susceptible,NA,Susceptible,Susceptible,NA,NA,Susceptible,NA,NA
Acinetobacterbaumanniistrainmrsn11737,Susceptible,Susceptible,Susceptible,Susceptible,Susceptible,Susceptible,Susceptible,Susceptible,NA,NA,Intermediate,Susceptible,Susceptible,NA,Susceptible,Susceptible,NA,NA,Susceptible,NA,NA
Acinetobacterbaumanniistrainmrsn1174,Resistant,Resistant,Resistant,Resistant,Resistant,NA,Resistant,Resistant,NA,NA,NA,Resistant,Resistant,Resistant,Strain could not be classified,Susceptible,Intermediate,NA,Intermediate,NA,NA
Acinetobacterbaumanniistrainmrsn11744,Susceptible,Intermediate,Intermediate,Susceptible,Susceptible,Susceptible,Intermediate,Intermediate,NA,NA,Susceptible,Susceptible,Susceptible,NA,Susceptible,Susceptible,NA,NA,Susceptible,NA,NA
Acinetobacterbaumanniistrainmrsn11748,Intermediate,Intermediate,Intermediate,Susceptible,Susceptible,NA,Intermediate,Intermediate,NA,NA,Intermediate,Intermediate,Intermediate,NA,Strain could not be classified,Susceptible,NA,NA,Intermediate,NA,NA
Acinetobacterbaumanniistrainmrsn11751,Susceptible,Intermediate,Intermediate,Susceptible,Susceptible,Susceptible,Intermediate,Intermediate,NA,NA,Intermediate,Intermediate,Intermediate,NA,Strain could not be classified,Strain could not be classified,NA,NA,Intermediate,NA,NA
Acinetobacterbaumanniistrainmrsn11756,Susceptible,Intermediate,Intermediate,Intermediate,Susceptible,Susceptible,Intermediate,Susceptible,NA,NA,Intermediate,Intermediate,Intermediate,NA,Strain could not be classified,Susceptible,NA,NA,Susceptible,NA,NA
Acinetobacterbaumanniistrainmrsn11757,Susceptible,Susceptible,Susceptible,Intermediate,Susceptible,Susceptible,Susceptible,Susceptible,NA,NA,Intermediate,Susceptible,Susceptible,NA,Susceptible,Susceptible,NA,NA,Susceptible,NA,NA
Acinetobacterbaumanniistrainmrsn11761,Susceptible,Susceptible,Intermediate,Resistant,Susceptible,Susceptible,Intermediate,Intermediate,NA,NA,Intermediate,Intermediate,Intermediate,NA,Strain could not be classified,Strain could not be classified,NA,NA,Intermediate,NA,NA
Acinetobacterbaumanniistrainmrsn11762,Intermediate,Susceptible,Intermediate,Susceptible,Susceptible,Susceptible,Intermediate,Intermediate,NA,NA,Intermediate,Intermediate,Intermediate,NA,Strain could not be classified,Strain could not be classified,NA,NA,Intermediate,NA,NA
Acinetobacterbaumanniistrainmrsn11763,Intermediate,Intermediate,Intermediate,Susceptible,Susceptible,NA,Intermediate,Intermediate,NA,NA,Intermediate,Intermediate,Intermediate,NA,Strain could not be classified,Susceptible,NA,NA,Intermediate,NA,NA
Acinetobacterbaumanniistrainmrsn11764,Susceptible,Susceptible,Susceptible,Susceptible,Susceptible,Susceptible,Susceptible,Susceptible,NA,NA,Susceptible,Susceptible,Intermediate,NA,Susceptible,Susceptible,NA,NA,Susceptible,NA,NA
Acinetobacterbaumanniistrainmrsn11766,Intermediate,Susceptible,Intermediate,Susceptible,Susceptible,Susceptible,Intermediate,Intermediate,NA,NA,Intermediate,Intermediate,Intermediate,NA,Strain could not be classified,Susceptible,NA,NA,Intermediate,NA,NA
Acinetobacterbaumanniistrainmrsn11767,Susceptible,Susceptible,Intermediate,Susceptible,Susceptible,NA,Intermediate,Intermediate,NA,NA,Intermediate,Intermediate,Intermediate,NA,Strain could not be classified,Strain could not be classified,NA,NA,Intermediate,NA,NA
Acinetobacterbaumanniistrainmrsn11769,Intermediate,Intermediate,Intermediate,Susceptible,Susceptible,NA,Intermediate,Intermediate,NA,NA,Intermediate,Intermediate,Intermediate,NA,Strain could not be classified,Susceptible,NA,NA,Intermediate,NA,NA
Acinetobacterbaumanniistrainmrsn11770,Intermediate,Susceptible,Intermediate,Susceptible,Susceptible,Susceptible,Intermediate,Intermediate,NA,NA,Intermediate,Intermediate,Intermediate,NA,Strain could not be classified,Strain could not be classified,NA,NA,Intermediate,NA,NA
Acinetobacterbaumanniistrainmrsn11771,Intermediate,Intermediate,Intermediate,Susceptible,Susceptible,Susceptible,Intermediate,Intermediate,NA,NA,Intermediate,Intermediate,Intermediate,NA,Strain could not be classified,Susceptible,NA,NA,Intermediate,NA,NA
Acinetobacterbaumanniistrainmrsn11776,Intermediate,Intermediate,Intermediate,Intermediate,Susceptible,NA,Intermediate,Intermediate,NA,NA,Intermediate,Intermediate,Intermediate,NA,Strain could not be classified,Susceptible,NA,NA,Intermediate,NA,NA
Acinetobacterbaumanniistrainmrsn11777,Intermediate,Intermediate,Intermediate,Intermediate,Susceptible,NA,Intermediate,Intermediate,NA,NA,Intermediate,Intermediate,Intermediate,NA,Strain could not be classified,Strain could not be classified,NA,NA,Intermediate,NA,NA
Acinetobacterbaumanniistrainmrsn11778,Susceptible,Susceptible,Susceptible,Susceptible,Susceptible,Susceptible,Susceptible,Susceptible,NA,NA,Intermediate,Intermediate,Susceptible,NA,Susceptible,Susceptible,NA,NA,Susceptible,NA,NA
Acinetobacterbaumanniistrainmrsn11780,Intermediate,Intermediate,Intermediate,Susceptible,Susceptible,NA,Intermediate,Intermediate,NA,NA,Intermediate,Intermediate,Intermediate,NA,Strain could not be classified,Strain could not be classified,NA,NA,Intermediate,NA,NA
Acinetobacterbaumanniistrainmrsn11781,Intermediate,Intermediate,Intermediate,Susceptible,Susceptible,NA,Intermediate,Intermediate,NA,NA,Intermediate,Intermediate,Intermediate,NA,Strain could not be classified,Strain could not be classified,NA,NA,Intermediate,NA,NA
Acinetobacterbaumanniistrainmrsn11784,Intermediate,Intermediate,Intermediate,Intermediate,Susceptible,NA,Intermediate,Intermediate,NA,NA,Intermediate,Intermediate,Intermediate,NA,Strain could not be classified,Strain could not be classified,NA,NA,Intermediate,NA,NA
Acinetobacterbaumanniistrainmrsn11790,Susceptible,Susceptible,Intermediate,Susceptible,Susceptible,NA,Intermediate,Intermediate,NA,NA,Intermediate,Intermediate,Intermediate,NA,Susceptible,Strain could not be classified,NA,NA,Intermediate,NA,NA
Acinetobacterbaumanniistrainmrsn11792,Intermediate,Intermediate,Intermediate,Intermediate,Susceptible,Susceptible,Intermediate,Intermediate,NA,NA,Intermediate,Intermediate,Intermediate,NA,Strain could not be classified,Strain could not be classified,NA,NA,Intermediate,NA,NA
Acinetobacterbaumanniistrainmrsn11793,Susceptible,Intermediate,Intermediate,Susceptible,Susceptible,NA,Intermediate,Intermediate,NA,NA,Intermediate,Intermediate,Intermediate,NA,Strain could not be classified,Susceptible,NA,NA,Intermediate,NA,NA
Acinetobacterbaumanniistrainmrsn11795,Susceptible,Susceptible,Susceptible,Susceptible,Susceptible,Susceptible,Susceptible,Susceptible,NA,NA,Susceptible,Susceptible,Susceptible,NA,Susceptible,Susceptible,NA,NA,Susceptible,NA,NA
Acinetobacterbaumanniistrainmrsn11796,Intermediate,Intermediate,Intermediate,Susceptible,Susceptible,Susceptible,Intermediate,Intermediate,NA,NA,Intermediate,Intermediate,Intermediate,NA,Strain could not be classified,Strain could not be classified,NA,NA,Intermediate,NA,NA
Acinetobacterbaumanniistrainmrsn11816,Susceptible,Susceptible,Intermediate,Susceptible,Susceptible,NA,Susceptible,Susceptible,NA,NA,NA,Susceptible,Susceptible,Susceptible,Susceptible,Susceptible,Intermediate,NA,Susceptible,NA,NA
Acinetobacterbaumanniistrainmrsn1183,Resistant,Resistant,Resistant,Susceptible,Susceptible,NA,Resistant,Resistant,NA,NA,NA,Intermediate,Susceptible,Susceptible,Strain could not be classified,Susceptible,Intermediate,NA,Resistant,NA,NA
Acinetobacterbaumanniistrainmrsn1187,Resistant,Resistant,Resistant,Susceptible,Susceptible,NA,Resistant,Resistant,NA,NA,NA,Resistant,Resistant,Susceptible,Strain could not be classified,Strain could not be classified,Intermediate,NA,Susceptible,NA,NA
Acinetobacterbaumanniistrainmrsn1196,Intermediate,Intermediate,Resistant,Susceptible,Susceptible,NA,Resistant,Resistant,NA,NA,NA,Resistant,Resistant,Resistant,Strain could not be classified,Susceptible,Intermediate,NA,Susceptible,NA,NA
Acinetobacterbaumanniistrainmrsn1308,Susceptible,Susceptible,Susceptible,Susceptible,Susceptible,NA,Susceptible,Susceptible,NA,NA,NA,Susceptible,Susceptible,NA,Susceptible,Susceptible,NA,NA,Susceptible,NA,NA
Acinetobacterbaumanniistrainmrsn1309,Susceptible,Susceptible,Resistant,Resistant,Resistant,NA,Resistant,Intermediate,NA,NA,NA,Resistant,Intermediate,NA,Strain could not be classified,Strain could not be classified,NA,NA,Intermediate,NA,NA
Acinetobacterbaumanniistrainmrsn1311,Susceptible,Susceptible,Resistant,Resistant,Resistant,NA,Resistant,Resistant,NA,NA,NA,Resistant,Resistant,Resistant,Strain could not be classified,Strain could not be classified,Intermediate,NA,Resistant,NA,NA
Acinetobacterbaumanniistrainmrsn14193,Resistant,Intermediate,Resistant,Resistant,Resistant,NA,Resistant,Resistant,NA,NA,NA,Resistant,Resistant,Resistant,Strain could not be classified,Strain could not be classified,Intermediate,NA,Resistant,NA,NA
Acinetobacterbaumanniistrainmrsn14237,Resistant,Resistant,Resistant,Resistant,Resistant,NA,Resistant,Resistant,NA,NA,NA,Resistant,Resistant,Resistant,Strain could not be classified,Strain could not be classified,Intermediate,NA,Resistant,NA,NA
Acinetobacterbaumanniistrainmrsn14427,Resistant,Resistant,Resistant,Resistant,Resistant,NA,Resistant,Resistant,NA,NA,NA,Resistant,Resistant,Resistant,Strain could not be classified,Strain could not be classified,Intermediate,NA,Susceptible,NA,NA
Acinetobacterbaumanniistrainmrsn15037,Intermediate,Intermediate,Intermediate,Intermediate,Susceptible,NA,Intermediate,Intermediate,NA,NA,Intermediate,Intermediate,Intermediate,NA,Strain could not be classified,Susceptible,NA,NA,Intermediate,NA,NA
Acinetobacterbaumanniistrainmrsn15043,Susceptible,Intermediate,Intermediate,Susceptible,Susceptible,Susceptible,Intermediate,Susceptible,NA,NA,Intermediate,Intermediate,Intermediate,NA,Strain could not be classified,Strain could not be classified,NA,NA,Susceptible,NA,NA
Acinetobacterbaumanniistrainmrsn15044,Susceptible,Susceptible,Intermediate,Susceptible,Susceptible,Susceptible,Intermediate,Intermediate,NA,NA,Intermediate,Intermediate,Intermediate,NA,Strain could not be classified,Strain could not be classified,NA,NA,Intermediate,NA,NA
Acinetobacterbaumanniistrainmrsn15047,Susceptible,Intermediate,Intermediate,Susceptible,Susceptible,NA,Intermediate,Intermediate,NA,NA,Intermediate,Intermediate,Intermediate,NA,Strain could not be classified,Susceptible,NA,NA,Intermediate,NA,NA
Acinetobacterbaumanniistrainmrsn15049,Resistant,Susceptible,Resistant,Resistant,Resistant,NA,Resistant,Resistant,NA,NA,NA,Resistant,Resistant,Resistant,Strain could not be classified,Strain could not be classified,Intermediate,NA,Resistant,NA,NA
Acinetobacterbaumanniistrainmrsn15064,Intermediate,Intermediate,Intermediate,Intermediate,Susceptible,NA,Intermediate,Intermediate,NA,NA,Intermediate,Intermediate,Intermediate,NA,Strain could not be classified,Susceptible,NA,NA,Intermediate,NA,NA
Acinetobacterbaumanniistrainmrsn15067,Susceptible,Intermediate,Intermediate,Susceptible,Susceptible,NA,Susceptible,Susceptible,NA,NA,Intermediate,Intermediate,Susceptible,NA,Strain could not be classified,Susceptible,NA,NA,Intermediate,NA,NA
Acinetobacterbaumanniistrainmrsn15068,Intermediate,Intermediate,Intermediate,Susceptible,Susceptible,Susceptible,Intermediate,Intermediate,NA,NA,Intermediate,Intermediate,Intermediate,NA,Strain could not be classified,Strain could not be classified,NA,NA,Intermediate,NA,NA
Acinetobacterbaumanniistrainmrsn15070,Susceptible,Susceptible,Susceptible,Susceptible,Susceptible,NA,Susceptible,Susceptible,NA,NA,NA,Susceptible,Susceptible,Susceptible,Susceptible,Susceptible,Intermediate,NA,Susceptible,NA,NA
Acinetobacterbaumanniistrainmrsn15071,Intermediate,Intermediate,Intermediate,Susceptible,Susceptible,Susceptible,Intermediate,Intermediate,NA,NA,Intermediate,Intermediate,Intermediate,NA,Strain could not be classified,Strain could not be classified,NA,NA,Intermediate,NA,NA
Acinetobacterbaumanniistrainmrsn15072,Intermediate,Intermediate,Intermediate,Susceptible,Susceptible,Susceptible,Intermediate,Intermediate,NA,NA,Intermediate,Intermediate,Intermediate,NA,Strain could not be classified,Strain could not be classified,NA,NA,Intermediate,NA,NA
Acinetobacterbaumanniistrainmrsn15073,Susceptible,Intermediate,Intermediate,Intermediate,Susceptible,NA,Intermediate,Susceptible,NA,NA,Intermediate,Intermediate,Intermediate,NA,Strain could not be classified,Strain could not be classified,NA,NA,Intermediate,NA,NA
Acinetobacterbaumanniistrainmrsn15076,Susceptible,Susceptible,Susceptible,Susceptible,Susceptible,Susceptible,Susceptible,Susceptible,NA,NA,Intermediate,Intermediate,Susceptible,NA,Susceptible,Susceptible,NA,NA,Intermediate,NA,NA
Acinetobacterbaumanniistrainmrsn15078,Intermediate,Intermediate,Intermediate,Susceptible,Susceptible,Susceptible,Intermediate,Intermediate,NA,NA,Intermediate,Intermediate,Intermediate,NA,Strain could not be classified,Strain could not be classified,NA,NA,Intermediate,NA,NA
Acinetobacterbaumanniistrainmrsn15080,Intermediate,Intermediate,Intermediate,Susceptible,Susceptible,Susceptible,Intermediate,Intermediate,NA,NA,Intermediate,Intermediate,Intermediate,NA,Strain could not be classified,Strain could not be classified,NA,NA,Intermediate,NA,NA
Acinetobacterbaumanniistrainmrsn15082,Susceptible,Susceptible,Susceptible,Susceptible,Susceptible,Susceptible,Susceptible,Susceptible,NA,NA,Intermediate,Intermediate,Susceptible,NA,Susceptible,Susceptible,NA,NA,Intermediate,NA,NA
Acinetobacterbaumanniistrainmrsn15083,Susceptible,Intermediate,Intermediate,Susceptible,Susceptible,Susceptible,Susceptible,Susceptible,NA,NA,Intermediate,Intermediate,Susceptible,NA,Susceptible,Susceptible,NA,NA,Intermediate,NA,NA
